region_name;year;criminality;salary;unemployee
Еврейская АО;2018;2,275664124;39242;3,456673542
Еврейская АО;2019;2,234317355;42400;3,006115305
Забайкальский край;2010;2,617546255;18684,5;5,314726734
Забайкальский край;2011;2,764389835;21099,6;5,162159099
Забайкальский край;2012;2,851318075;24218,5;5,131315377
Забайкальский край;2013;3,202999386;27279,4;5,124195041
Забайкальский край;2014;2,952526316;29319;4,931958733
Забайкальский край;2015;3,075197815;30931;5,131902793
Забайкальский край;2016;2,743575844;32654;5,327669431
Забайкальский край;2017;2,508797335;34848;5,327941228
Забайкальский край;2018;2,276357529;42647;5,096904879
Забайкальский край;2019;2,218130082;46387;4,579286412
Ивановская область;2010;1,770857222;13123,3;3,965513352
Ивановская область;2011;1,627795216;14436,2;3,47175316
Ивановская область;2012;1,516879204;16998,1;3,327624035
Ивановская область;2013;1,386745898;18981,5;2,741848829
Ивановская область;2014;1,430164805;20592;2,205438357
Ивановская область;2015;1,465393943;21161;2,992527391
Ивановская область;2016;1,403306758;22144;2,91036372
Ивановская область;2017;1,56471438;23470;2,494533363
Ивановская область;2018;1,390511119;25729;2,193353959
Ивановская область;2019;1,388487764;27553;1,94502212
Иркутская область;2010;2,706628784;20475,6;5,230402782
Иркутская область;2011;2,41072908;22647,7;4,736714982
Иркутская область;2012;2,480573129;25880,8;4,034970432
Иркутская область;2013;2,359239183;29049,9;4,315162423
Иркутская область;2014;2,199841184;31408;4,538429358
Иркутская область;2015;2,218525049;32704;4,270553007
Иркутская область;2016;1,949893191;35510;4,569342763
Иркутская область;2017;1,912531975;38086;4,376808607
Иркутская область;2018;1,873027627;35686;3,720190806
Иркутская область;2019;1,918121611;39076;3,20879958
Кабардино-Балкарская Респ.;2010;1,083537672;11663,2;5,609037739
Кабардино-Балкарская Респ.;2011;0,964015517;13011,5;4,510452325
Кабардино-Балкарская Респ.;2012;1,024208241;16314,4;3,968428589
Кабардино-Балкарская Респ.;2013;1,009466955;18623,6;5,145742665
Кабардино-Балкарская Респ.;2014;0,916872976;20323;4,793427274
Кабардино-Балкарская Респ.;2015;1,003735423;20866;5,018444959
Кабардино-Балкарская Респ.;2016;0,888511549;21532;5,150031158
Кабардино-Балкарская Респ.;2017;0,77779319;22782;5,240307927
Кабардино-Балкарская Респ.;2018;0,764413878;25776;5,431033587
Кабардино-Балкарская Респ.;2019;0,863730912;27466;5,503733494
Калининградская область;2010;1,792439485;18455,4;5,575887525
Калининградская область;2011;1,608793722;19911,1;5,057131662
Калининградская область;2012;1,581957627;21526;4,082420403
Калининградская область;2013;1,51425881;25104,2;3,092024514
Калининградская область;2014;1,612051725;26639;2,977632304
Калининградская область;2015;1,696530553;28262;3,130901797
Калининградская область;2016;1,347531462;29451;3,206603149
Калининградская область;2017;1,739751158;30580;2,713268695
Калининградская область;2018;1,375611984;33385;2,47047252
Калининградская область;2019;1,48022185;35637;2,365118742
Калужская область;2010;1,77641778;17681,6;3,715468835
Калужская область;2011;1,495573554;20000,8;3,094149954
Калужская область;2012;1,468159423;23709,6;2,342520213
Калужская область;2013;1,564774418;25756,6;2,466308149
Калужская область;2014;1,668263004;28248;2,221604641
Калужская область;2015;1,803532024;29939;2,271096068
Калужская область;2016;1,599828487;31667;2,244482405
Калужская область;2017;1,740541149;34332;2,132207314
Калужская область;2018;1,676052269;38197;2,120367879
Калужская область;2019;1,550232709;41442;1,970917853
Камчатский край;2010;1,688832922;35747,6;4,111509497
Камчатский край;2011;1,662475421;39325,9;3,641553472
Камчатский край;2012;1,663482669;43551,9;3,414993507
Камчатский край;2013;1,59366158;48628,8;3,360649082
Камчатский край;2014;1,562627525;53167;3,608671359
Камчатский край;2015;1,808065881;57404;2,664418425
Камчатский край;2016;1,857194489;61159;2,39488685
Камчатский край;2017;1,946741469;65807;2,427477137
Камчатский край;2018;1,896940715;73896;2,781629694
Камчатский край;2019;1,840901271;80448;2,180534492
Карачаево-Черкесская Респ.;2010;0,915901488;11345,6;5,02988875
Карачаево-Черкесская Респ.;2011;0,831866364;12446,9;4,818102757
Карачаево-Черкесская Респ.;2012;0,777373959;15510,8;4,468368339
Карачаево-Черкесская Респ.;2013;0,76565125;17857,8;4,704560563
Карачаево-Черкесская Респ.;2014;0,728726656;19746;6,3139979
Карачаево-Черкесская Респ.;2015;0,865020878;20511;7,003210739
Карачаево-Черкесская Респ.;2016;0,753347677;21546;6,622994338
Карачаево-Черкесская Респ.;2017;0,869056196;22638;6,074816454
Карачаево-Черкесская Респ.;2018;0,872655784;25430;5,551859276
Карачаево-Черкесская Респ.;2019;0,977991434;26955;5,111417561
